[2025-04-08 16:59:33,782: INFO: main: Data Ingestion has Started]
[2025-04-08 17:05:45,404: INFO: main: Data Ingestion Completed Successfully]
[2025-04-08 17:05:45,404: INFO: main: Data Preprocessing has Started Successfully]
[2025-04-08 17:05:45,404: INFO: data_preprocessing: FeatureEngineering initialized.]
[2025-04-08 17:05:45,415: INFO: data_preprocessing: Saved feature engineered dataset to data/AAPL_final_dataset.csv]
[2025-04-08 17:05:45,415: INFO: main: Data Preprocessing Completed Successfully]
[2025-04-08 18:55:06,067: INFO: data_preprocessing: FeatureEngineering initialized.]
[2025-04-08 18:55:06,076: INFO: data_preprocessing: Saved feature engineered dataset to data/AAPL_final_dataset.csv]
[2025-04-08 18:55:42,794: INFO: data_preprocessing: FeatureEngineering initialized.]
[2025-04-08 18:55:42,803: INFO: data_preprocessing: Saved feature engineered dataset to data/AAPL_final_dataset.csv]
[2025-04-08 18:55:52,191: INFO: data_preprocessing: FeatureEngineering initialized.]
[2025-04-08 18:55:52,200: INFO: data_preprocessing: Saved feature engineered dataset to data/AAPL_final_dataset.csv]
[2025-04-08 18:56:22,984: INFO: data_preprocessing: FeatureEngineering initialized.]
[2025-04-08 18:56:22,992: INFO: data_preprocessing: Saved feature engineered dataset to data/AAPL_final_dataset.csv]
[2025-04-08 19:17:39,289: INFO: data_preprocessing: FeatureEngineering initialized.]
[2025-04-08 19:17:39,304: INFO: data_preprocessing: Saved feature engineered dataset to data/AAPL_final_dataset.csv]
[2025-04-08 19:34:27,208: INFO: data_preprocessing: FeatureEngineering initialized.]
[2025-04-08 19:34:27,223: INFO: data_preprocessing: Saved feature engineered dataset to data/AAPL_final_dataset.csv]
